idx,samples1,samples2
0,-1177,967
1,-1145,967
2,-1177,998
3,-1177,998
4,-1177,998
5,-1145,967
6,-1145,967
7,-1177,998
8,-1177,998
9,-1177,967
10,-1177,998
11,-1177,967
12,-1177,998
13,-1177,967
14,-1145,967
15,-1177,967
16,-1177,967
17,-1177,967
18,-1177,998
19,-1177,998
20,-1177,967
21,-1177,967
22,-1145,967
23,-1177,998
24,-1177,998
25,-1177,967
26,-1177,967
27,-1177,998
28,-1177,998
29,-1177,967
30,-1177,967
31,-1145,967
32,-1177,967
33,-1177,967
34,-1177,967
35,-1177,967
36,-1177,998
37,-1177,967
38,-1177,967
39,-1177,967
40,-1177,967
41,-1177,967
42,-1177,967
43,-1177,967
44,-1145,998
45,-1177,998
46,-1177,967
47,-1145,998
48,-1177,998
49,-1145,998
50,-1177,967
51,-1177,967
52,-1177,998
53,-1177,967
54,-1177,967
55,-1145,967
56,-1145,967
57,-1177,998
58,-1208,998
59,-1177,967
60,-1177,967
61,-1177,998
62,-1177,998
63,-1177,967
64,-1145,967
65,-1177,967
66,-1177,998
67,-1208,967
68,-1177,967
69,-1145,998
70,-1177,998
71,-1177,998
72,-1145,967
73,-1145,967
74,-1145,998
75,-1177,998
76,-1177,998
77,-1177,967
78,-1177,998
79,-1177,998
80,-1177,967
81,-1145,967
82,-1145,967
83,-1177,967
84,-1177,967
85,-1177,967
86,-1177,967
87,-1177,998
88,-1177,998
89,-1177,967
90,-1177,967
91,-1177,967
92,-1177,967
93,-1177,967
94,-1177,967
95,-1177,998
96,-1177,998
97,-1177,998
98,-1177,967
99,-1145,967
100,-1177,998
101,-1177,967
102,-1177,967
103,-1177,967
104,-1177,967
105,-1177,998
106,-1177,998
107,-1177,967
108,-1145,967
109,-1177,998
110,-1177,967
111,-1177,967
112,-1177,967
113,-1177,998
114,-1177,967
115,-1177,967
116,-1145,967
117,-1145,967
118,-1177,967
119,-1177,967
120,-1177,998
121,-1177,967
122,-1145,967
123,-1177,998
124,-1177,967
125,-1145,967
126,-1145,967
127,-1177,967
128,-1177,967
129,-1177,967
130,-1177,967
131,-1177,998
132,-1177,998
133,-1177,967
134,-1145,998
135,-1177,967
136,-1177,998
137,-1208,998
138,-1177,967
139,-1177,998
140,-1177,998
